experiment,kind,n_cells,n_frames,freq,M,dev_at_half,dev_sd,p_below_01
engert_20221001_fish2_magneto_2,gaussian_psd,259,1080,0.1,32,-0.09135788742868829,0.01714163247045792,0.048262548262548256
engert_20221001_fish2_magneto_2,gaussian_white,259,1080,0.1,32,0.012396180268274446,0.024660657222274524,0.009009009009009009
engert_20221002_fish1_magneto_1,real,382,1260,0.1,38,0.036263477698647795,0.0,0.01832460732984293
engert_20221002_fish1_magneto_1,phase_only,382,1260,0.1,38,0.03626344187204161,2.0014830212433605e-16,0.018324607329842927
engert_20221002_fish1_magneto_1,gaussian_psd,382,1260,0.1,38,-0.0892008397884363,0.023482911007754497,0.04144851657940663
engert_20221002_fish1_magneto_1,gaussian_white,382,1260,0.1,38,0.011269695640831431,0.0173305486501974,0.011343804537521813
engert_20221002_fish1_magneto_2,real,382,1260,0.1,38,0.036263477698647795,0.0,0.01832460732984293
engert_20221002_fish1_magneto_2,phase_only,382,1260,0.1,38,0.03626344187204178,2.482534153247273e-16,0.018324607329842927
engert_20221002_fish1_magneto_2,gaussian_psd,382,1260,0.1,38,-0.11571467508466105,0.0240308301802506,0.0418848167539267
engert_20221002_fish1_magneto_2,gaussian_white,382,1260,0.1,38,0.0036851507594351054,0.013273510927404884,0.010471204188481674
engert_20221002_fish1_magneto_3,real,382,1260,0.1,38,0.036263477698647795,0.0,0.01832460732984293
engert_20221002_fish1_magneto_3,phase_only,382,1260,0.1,38,0.036263441872041724,1.2412670766236366e-16,0.018324607329842927
engert_20221002_fish1_magneto_3,gaussian_psd,382,1260,0.1,38,-0.12245237412567785,0.031215173218057696,0.044938917975567184
engert_20221002_fish1_magneto_3,gaussian_white,382,1260,0.1,38,-0.02094208952644383,0.015283082418322689,0.010471204188481674
engert_20221002_fish2_magneto_0,real,345,1080,0.1,32,0.049972718774594305,0.0,0.005797101449275362
engert_20221002_fish2_magneto_0,phase_only,345,1080,0.1,32,0.049972729798090164,1.3848845570247444e-16,0.005797101449275362
engert_20221002_fish2_magneto_0,gaussian_psd,345,1080,0.1,32,-0.10241157433505917,0.01896806424145506,0.03140096618357488
engert_20221002_fish2_magneto_0,gaussian_white,345,1080,0.1,32,0.008456640109599114,0.011817978214412578,0.009178743961352657
engert_20221002_fish2_magneto_1,real,404,1080,0.1,32,0.05456551138930965,0.0,0.0049504950495049506
engert_20221002_fish2_magneto_1,phase_only,404,1080,0.1,32,0.0545653982699331,2.9664616808968467e-16,0.0049504950495049506
engert_20221002_fish2_magneto_1,gaussian_psd,404,1080,0.1,32,-0.10160249240993531,0.018333028218850907,0.05115511551155114
engert_20221002_fish2_magneto_1,gaussian_white,404,1080,0.1,32,0.002915581307618357,0.02098579468706454,0.00825082508250825
engert_20221002_fish2_magneto_2,real,393,1080,0.1,32,0.06803245508987765,0.0,0.002544529262086514
engert_20221002_fish2_magneto_2,phase_only,393,1080,0.1,32,0.06803252060813593,2.896659246623092e-16,0.002544529262086514
engert_20221002_fish2_magneto_2,gaussian_psd,393,1080,0.1,32,-0.10887089138937305,0.01887798028908924,0.033502968617472435
engert_20221002_fish2_magneto_2,gaussian_white,393,1080,0.1,32,-0.0009135562797822905,0.01746701804242605,0.006785411365564036
